layer,unit,description
conv1,0,Fluorescent white generally in the background
conv1,1,Yellow objects
conv1,2,Muted
conv1,3,Red objects
conv1,4,White outlines of poles
conv1,5,Yellow objects
conv1,6,White colored objects
conv1,7,Fluorescent white backgrounds
conv1,8,Fluorescent white generally in the background
conv1,9,Objects with stripes in a jail
conv1,10,White dots outlining a object
conv1,11,The color white
conv1,12,Green objects
conv1,13,Horizontal white lines
conv1,14,Muted
conv1,15,White dots outlining objects
conv1,16,Blue objects
conv1,17,Blue objects
conv1,18,Muted images
conv1,19,White outlines of objects
conv1,20,Red objects
conv1,21,White dots outlining a object
conv1,22,Red objects
conv1,23,White outlines of objects
conv1,24,Fluorescent white areas
conv1,25,Muted
conv1,26,Objects with stripes in a jail
conv1,27,Blue colored objects
conv1,28,Black and white colored stripes
conv1,29,White outlines of objects
conv1,30,White lines next to black objects
conv1,31,White outlines of black objects
conv1,32,White outlines of horizontal lines
conv1,33,White outlines of black objects
conv1,34,Black and white colored objects
conv1,35,The outline of the object
conv1,36,Blue objects
conv1,37,Fluorescent white backgrounds
conv1,38,Muted outlines
conv1,39,Pink colored objects
conv1,40,White dots outlining a object
conv1,41,Fluorescent white backgrounds
conv1,42,The color white
conv1,43,Muted outlines
conv1,44,Diagonal lines and stripes
conv1,45,Red objects
conv1,46,White outlines of objects
conv1,47,White outlines of objects
conv1,48,The color white
conv1,49,Muted
conv1,50,Vertical lines
conv1,51,Stripes
conv1,52,Fluorescent white backgrounds
conv1,53,White outlines of black lines
conv1,54,Green objects
conv1,55,Bright yellow colored objects
conv1,56,The top part of objects
conv1,57,Red objects
conv1,58,Fluorescent white backgrounds
conv1,59,White colored objects
conv1,60,The left side of objects
conv1,61,Windows on a building
conv1,62,White colored objects
conv1,63,White dots outlining objects
layer1,0,Yellow and blue colored objects
layer1,1,White dots outlining objects
layer1,2,White dots outlining objects
layer1,3,Black and white colored objects
layer1,4,Orange and red objects
layer1,5,Black and white colored objects
layer1,6,Poles and legs
layer1,7,Horizontal white lines
layer1,8,White outlines of horizontal lines
layer1,9,Stripes
layer1,10,The top part of objects
layer1,11,White dots outlining objects
layer1,12,Stripes
layer1,13,White spots in pictures
layer1,14,Vertical lines
layer1,15,Green objects
layer1,16,White outlines of black lines
layer1,17,Yellow and blue colored objects
layer1,18,Diagonal lines
layer1,19,White dots outlining objects
layer1,20,Stripes
layer1,21,Blue and purple objects
layer1,22,Black and white colored objects
layer1,23,Grass
layer1,24,The outline of the object
layer1,25,Red colored object with text
layer1,26,The left side of objects
layer1,27,White colored objects
layer1,28,Arts and crafts
layer1,29,Yellow and blue lines
layer1,30,White dots outlining a object
layer1,31,Red and white colored objects
layer1,32,Yellow and blue colored objects
layer1,33,Yellow and blue colored objects
layer1,34,The color white
layer1,35,Yellow and blue colored objects
layer1,36,Black and white colored objects
layer1,37,Black and white colored objects
layer1,38,Stripes
layer1,39,Stripes
layer1,40,Bright yellow colored objects
layer1,41,Diagonal lines
layer1,42,Yellow and blue colored objects
layer1,43,Vertical lines
layer1,44,White colored objects
layer1,45,Stop signs
layer1,46,Yellow and blue colored objects
layer1,47,Red objects
layer1,48,Black and white colored objects
layer1,49,White dots outlining objects
layer1,50,Yellow and blue colored objects
layer1,51,Yellow and blue colored objects
layer1,52,Green colored objects
layer1,53,Black and white colored objects
layer1,54,White dots outlining objects
layer1,55,Yellow and blue colored objects
layer1,56,Diagonal lines
layer1,57,Black and white colored objects
layer1,58,White dots outlining objects
layer1,59,Yellow and blue colored objects
layer1,60,Yellow and blue colored objects
layer1,61,Yellow objects
layer1,62,White spots in pictures
layer1,63,Stripes
layer1,64,The outline of the object
layer1,65,Grass
layer1,66,Orange and yellow objects
layer1,67,Stripes
layer1,68,Black and white colored objects
layer1,69,White colored objects
layer1,70,Black and white colored objects
layer1,71,White dots outlining objects
layer1,72,Stripes
layer1,73,Green colored objects
layer1,74,Dots on the bottom of a line
layer1,75,Green fields
layer1,76,Black and white colored objects
layer1,77,White colored object with black border
layer1,78,Stripes
layer1,79,White dots outlining a object
layer1,80,Yellow and blue lines
layer1,81,Diagonal lines
layer1,82,Yellow and blue lines
layer1,83,Black and white colored objects
layer1,84,Blue objects
layer1,85,Red objects
layer1,86,Black and white colored objects
layer1,87,White colored objects
layer1,88,Red objects
layer1,89,White space below black bars
layer1,90,Purple and pink objects
layer1,91,Stripes
layer1,92,Yellow and blue colored objects
layer1,93,White outlines
layer1,94,White dots outlining objects
layer1,95,Black and white colored objects
layer1,96,Green and blue objects
layer1,97,White colored objects
layer1,98,Diagonal lines
layer1,99,White dots on corners
layer1,100,The blades of a windmill
layer1,101,The bottom of a line
layer1,102,Yellow and blue colored objects
layer1,103,Dots on the bottom of a line
layer1,104,Black and white colored objects
layer1,105,Black and white colored objects
layer1,106,White dots outlining objects
layer1,107,The color white
layer1,108,Stop signs
layer1,109,Black and white colored objects
layer1,110,Black and white colored objects
layer1,111,Yellow and blue colored objects
layer1,112,The outline of the object
layer1,113,White dots outlining objects
layer1,114,Yellow and blue colored objects
layer1,115,Striped or patterned objects
layer1,116,Yellow and blue colored objects
layer1,117,White dots outlining objects
layer1,118,White colored objects
layer1,119,Black and white colored stripes
layer1,120,Red and white colored objects
layer1,121,Bright lights
layer1,122,Bright yellow colored objects
layer1,123,Edges
layer1,124,Black and white colored objects
layer1,125,Blue colored objects
layer1,126,Stripes
layer1,127,The outline of the object
layer1,128,Black and white colored objects
layer1,129,Purple and pink objects
layer1,130,Yellow and blue colored objects
layer1,131,Black and white colored objects
layer1,132,Letters on a sign
layer1,133,Diagonal lines
layer1,134,Dots on the corners
layer1,135,Stripes
layer1,136,Stripes
layer1,137,Blue and purple objects
layer1,138,Diagonal lines
layer1,139,White dots outlining objects
layer1,140,Black and white colored objects
layer1,141,White dots outlining objects
layer1,142,Red and white objects
layer1,143,Yellow and blue colored objects
layer1,144,Dots on the bottom of a line
layer1,145,Striped objects
layer1,146,The outline of the object
layer1,147,White dots outlining objects
layer1,148,White dots outlining objects
layer1,149,Diagonal lines
layer1,150,Fluorescent white backgrounds
layer1,151,Objects with stripes in it
layer1,152,Dots on the bottom of a line
layer1,153,White dots
layer1,154,Dots on the corners of objects
layer1,155,Green and blue objects
layer1,156,Vertical stripes
layer1,157,White dots outlining objects
layer1,158,Fluorescent white backgrounds
layer1,159,Black and white colored objects
layer1,160,Blue objects
layer1,161,Black and white colored objects
layer1,162,Black and white colored objects
layer1,163,Fluorescent white backgrounds
layer1,164,Dots on the bottom of a line
layer1,165,White dots outlining objects
layer1,166,Yellow and blue colored objects
layer1,167,Striped or patterned objects
layer1,168,The outline of the object
layer1,169,Black and white colored objects
layer1,170,White dots outlining objects
layer1,171,Yellow and blue colored objects
layer1,172,Diagonal white lines
layer1,173,White outlines of black objects
layer1,174,The color white
layer1,175,Black and white colored objects
layer1,176,The top part of objects
layer1,177,Black and white colored objects
layer1,178,White dots outlining objects
layer1,179,White dots outlining objects
layer1,180,Muted
layer1,181,Stripes
layer1,182,The outline of the object
layer1,183,Black and white colored objects
layer1,184,White dots outlining objects
layer1,185,Bright yellow colored objects
layer1,186,Yellow and red spots in pictures
layer1,187,Yellow and blue colored objects
layer1,188,Stripes
layer1,189,Dots on the bottom of objects
layer1,190,White dots outlining objects
layer1,191,White colored object with black border
layer1,192,Striped objects
layer1,193,Red objects
layer1,194,White dots outlining objects
layer1,195,White colored objects
layer1,196,Stripes
layer1,197,Black and white colored objects
layer1,198,Muted images
layer1,199,The left of a couch
layer1,200,The color white
layer1,201,Blue objects
layer1,202,White dots outlining objects
layer1,203,Black and white colored objects
layer1,204,Poles and legs
layer1,205,Purple and pink objects
layer1,206,White dots outlining objects
layer1,207,White dots outlining objects
layer1,208,The left side of objects
layer1,209,Black and white colored objects
layer1,210,Dots on the bottom
layer1,211,White dots outlining objects
layer1,212,White dots outlining objects
layer1,213,Black and white colored objects
layer1,214,White dots on the bottom
layer1,215,White dots outlining objects
layer1,216,Dots on the corners of objects
layer1,217,White dots outlining objects
layer1,218,Yellow and blue colored objects
layer1,219,White dots outlining objects
layer1,220,White dots outlining objects
layer1,221,Stripes
layer1,222,Stripes
layer1,223,Yellow and blue colored objects
layer1,224,Black and white colored objects
layer1,225,The bottom of a line
layer1,226,Black and white colored objects
layer1,227,Red and white colored objects
layer1,228,Stripes
layer1,229,The left side of the line
layer1,230,Bright yellow colored objects
layer1,231,Black and white colored objects
layer1,232,The sky
layer1,233,The left side of objects
layer1,234,Blue objects
layer1,235,Blue objects
layer1,236,Black and white colored objects
layer1,237,Black and white colored objects
layer1,238,Stripes
layer1,239,Yellow and blue colored objects
layer1,240,Stripes
layer1,241,The left side of objects
layer1,242,Red objects
layer1,243,Stripes
layer1,244,Red and pink objects
layer1,245,Stripes
layer1,246,Black and white colored objects
layer1,247,Red objects
layer1,248,White dots outlining objects
layer1,249,Yellow and blue colored objects
layer1,250,The top part of objects
layer1,251,White colored objects
layer1,252,White dots outlining objects
layer1,253,White dots outlining objects
layer1,254,The color white
layer1,255,The color white
layer2,0,White dots outlining objects
layer2,1,Stop signs
layer2,2,Letters on a sign
layer2,3,Diagonal lines
layer2,4,Yellow and blue colored objects
layer2,5,The sky
layer2,6,Blue objects
layer2,7,The bottom of circles
layer2,8,Dots on the corners of objects
layer2,9,Stripes
