layer,unit,summary
layer3,226,a person wearing a facemask
layer3,226,"wool, stairs and other patterned objects"
layer3,226,areas with repetitive patterns
layer2,117,"points on a refrigerator, spaces on top of a shirt"
layer2,117,brown dogs
layer2,117,blue areas in pictures
layer3,521,animal eyes or the corners of books and signs
layer3,521,eyes and objects that resemble them
layer3,521,eyes
layer3,906,spots of objects with lines
layer3,906,light reflections
layer3,906,dark dogs
layer4,854,animals and water
layer4,854,human hands
layer4,854,people and dogs and animals
layer4,1335,"chains, poles and animals"
layer4,1335,"long, thin objects"
layer4,1335,brown snakes
layer2,303,trees and animal parts
layer2,303,areas with a line through them
layer2,303,"nature, statue"
layer2,137,"yellow, red, and orange colors"
layer2,137,orange objects
layer2,137,orange areas in picture
layer2,278,spots of the color white and orange
layer2,278,metal objects
layer2,278,the lipsticks and cupcakes are in groups
layer3,892,screens and electronics
layer3,892,monitors for different devices
layer3,892,text in them
layer4,611,"buildings, vehicles and clothes"
layer4,611,rooftops
layer4,611,edges of objects
layer2,163,objects bordering the color blue
layer2,163,birds
layer2,163,brighter areas in objects
layer4,235,ties and cones
layer4,235,include items that are on top of other objects
layer4,235,"animal, person, collar, food"
layer4,301,animals and sticks
layer4,301,birds
layer4,301,show two items that are connected
layer4,1474,"a tractor, a cup of coffee, a house, a cup of beer, a golf cart"
layer4,1474,circular objects
layer4,1474,"animals, insect, nature"
layer4,1475,"dogs going down the road, a cross on a wall. leaf"
layer4,1475,tan and textured
layer4,1475,items with straight features
conv1,13,a clock
conv1,13,nothing
conv1,13,"clothing, animals, athletes, and instruments are all displayed"
layer2,139,the eyes of people and animals
layer2,139,"a fox staring forward, a dog posing for a photo, aquatic life, a group of kids playing basketball. a couple kids on a canoe"
layer2,139,brighter areas in objects
layer4,365,gray objects with multiple lines
layer4,365,"vertical legs, ropes and columns"
layer4,365,grill looking things
layer4,585,"fountains, water towers, and balls"
layer4,585,fountains and water
layer4,585,water and sky and fire
layer4,2041,"faces of people, a cup, a lizard"
layer4,2041,"people, animals and yellow objects"
layer4,2041,two items that are connected
layer4,1974,"this people, shells, furniture and bells"
layer4,1974,hat like things
layer4,1974,areas with curved features
layer3,441,necks of different birds
layer3,441,things that look like wheel spokes
layer3,441,spots of color
layer3,982,the color white and edges
layer3,982,"curve fruit, clothes and poles"
layer3,982,curvatures of different objects
layer4,1216,yellow objects and vehicles
layer4,1216,yellow objects
layer4,1216,objects with patterns or texture
layer3,737,"walls, round and designs"
layer3,737,white spots
layer3,737,"logo, radio, socks, pavement"
layer4,1473,"monument, child"
layer4,1473,"animals, books, rafts and toys"
layer4,1473,items with straight features
layer4,1696,people holding cameras and animals
layer4,1696,"dogs posing for photos, people taking pictures"
layer4,1696,items that are connected
layer2,202,the color yellow and black dots
layer2,202,small dots of different colors
layer2,202,brighter areas in objects
layer3,455,dots on animals and flooring
layer3,455,dogs
layer3,455,brighter areas in objects
layer4,435,"feathers, dresses and animals"
layer4,435,multi-colored accessories
layer4,435,pictures. similar color
layer4,332,"satellite dish, stand at the tracks, steps"
layer4,332,"animals, towers and stairs"
layer4,332,animals or have a triangular  structure
layer4,1651,animals and things with black dots
layer4,1651,items or dogs that have black spots or eyes on them
layer4,1651,"chair, person, toaster, cooking tinsel"
layer4,1846,"a person by a swimming pool, a dog in the grass"
layer4,1846,animals and people
layer4,1846,items on other items
layer1,142,aquatic life and the ocean
layer1,142,blank spots with color
layer1,142,"sign, animal, logo"
layer2,260,edges and corners of images
layer2,260,dots on animals and phones
layer2,260,around living things
layer3,144,branches and the tan color
layer3,144,mushrooms
layer3,144,a ragged texture to them
layer4,966,boxes and electronics
