Neuron ID,Label 1,Label 2,Label 3
0,Fishing Moments,Fishing Success,Fishing Success
1,Diverse Subjects,Diverse Activities and Scenes,Diverse Living Scenes
2,Fishing Success,Fishing achievements,Fishing Success
3,Colorful Contrast Items,Colorful Contrast Imagery,Color Contrast Elements
4,Fishing Activities,Fishing Activities,Fishing and Captures
5,Colorful Patterns and Objects,Colorful Patterns and Objects,Colorful Patterns and Objects
6,Colorful Objects,Varied Purple Objects,Colorful Objects
7,Diverse Subjects,Diverse Landscapes and Objects,Diverse Subjects Photography
8,Fishing Moments,Fishing Activities,Fishing Activities
9,Diverse Subjects,Outdoor and Indoor Items,Outdoor and Indoor Objects
10,Colorful Patterns and Objects,Colorful Patterns and Objects,Colorful Patterns and Objects
11,Diverse Subjects,Diverse subjects photography,Diverse subjects
12,Fishing Moments,Fishing activities,Fishing Success
13,Colorful Objects & Backgrounds,Colorful contrasts,Colorful and Contrasted Objects
14,Colorful Objects,Colorful Objects,Colorful Objects
15,Colorful Patterns and Objects,Colorful motifs,Colorful Backgrounds and Objects
16,Fishing Activities,Fishing Activities,Fishing Activities
17,Fishing Moments,Fishing Moments,Fishing Success
18,Fishing Moments,Fishing Activities,Fishing Success
19,Purple-themed objects,Colorful Objects,Purple-themed objects
20,Varied Imagery,Monochrome and Color Contrasts,Monochrome and Color Contrasts
21,Diverse Objects,Diverse Objects,Diverse Objects
22,Purple and Black Aesthetics,Purple and Pink Motifs,Purple and Pink Motifs
23,Colorful Objects and Scenes,Colorful Objects,Colorful Objects
24,Fishing Achievements,Fishing Success,Fishing Moments
25,Colorful Objects and Patterns,Colorful Objects and Patterns,Colorful Objects
26,Varied Patterns and Textures,Colorful patterns and textures,Colorful Patterns and Textures
27,Colorful Patterns and Objects,Colorful Patterns and Objects,Colorful Patterns and Objects
28,Diverse Objects and Scenes,Diverse Objects/Scenes,Diverse Objects and Scenes
29,Purple and Pink Motifs,Purple and Pink Motifs,Purple and Pink Motifs
30,Aerial and Satellite Imagery,Aerial and Satellite Imagery,Aerial and Satellite Imagery
31,Diverse subjects,Diverse subjects,Diverse subjects
32,Colorful Patterns and Objects,Colorful Patterns and Objects,Colorful Patterns and Objects
33,Colorful Patterns and Objects,Colorful Patterns and Objects,Colorful Textures and Patterns
34,Fishing Moments,Fishing Success,Fishing Success
35,Diverse objects and themes,Diverse Objects and Themes,Diverse Objects and Themes
36,Fishing achievements,Fishing Success,Fishing Moments
37,Fishing Moments,Fishing activities,Fishing Success
38,Colorful Aesthetic Objects,Color Contrast Elements,Colorful Contrasts
39,Colorful Objects and Patterns,Colorful Objects,Colorful Home Decor
40,Aerial Views,Aerial and Satellite Views,Aerial and Satellite Views
41,Colorful Textures and Objects,Colorful backgrounds and objects,Colorful Textures and Objects
42,Aerial views,Aerial Landscapes,Aerial Views
43,Fishing Moments,Fishing Success,Fishing Achievements
44,Outdoor and Object Scenes,Outdoor and Lifestyle Scenes,Diverse subjects photography
45,Fishing Success,Fishing Moments,Fishing Moments
46,Fishing Achievements,Fishing Success,Fishing Success Moments
47,Purple and Black Objects,Purple and Black Objects,Purple and Black Objects
48,Fishing Triumph,Fishing Triumphs,Fishing and Outdoor Activities
49,Varied Subjects,Varied Subjects,Colorful Textures and Objects
50,Fishing Success,Fishing activities,Fishing activities
51,Colorful objects and backgrounds,Colorful backgrounds and objects,Colorful Contrasts
52,Colorful Technology and Decor,Colorful technology and decor,Colorful Technology and Decor
53,Fishing Moments,Fishing activities,Fishing achievements
54,Fishing Success,Fishing Success,Fishing Success
55,Diverse objects,Diverse objects,Diverse objects
56,Colorful Patterns and Objects,Colorful Patterns and Objects,Colorful Patterns and Objects
57,Diverse Objects and Scenes,Diverse Objects and Activities,Diverse Objects and Scenes
58,Fishing Achievements,Fishing Moments,Fishing Activities
59,Fishing Success,Fishing activities,Fishing activities
60,Fishing Moments,Fishing activities,Fishing Activities
61,Fishing Success,Fishing achievements,Fishing achievements
62,Colorful Objects and Scenes,Purple motif,Colorful Objects and Scenes
63,Fishing achievements,Fishing Success,Fishing Success
64,Colorful backgrounds and objects,Colorful backgrounds and objects,Colorful Objects and Backgrounds
65,Fishing Moments,Fishing Moments,Fishing Success
66,Fishing achievements,Fishing achievements,Fishing Achievements
67,Colorful backgrounds and objects,Colorful Objects and Backgrounds,Colorful Patterns and Objects
68,Fishing Success,Fishing Success,Fishing Success
69,Colorful Patterns and Objects,Colorful Patterns and Textures,Colorful Patterns and Objects
70,Colorful Patterns and Backgrounds,Colorful Patterns and Textures,Colorful Patterns and Backgrounds
71,Diverse Objects,Diverse Objects and Scenes,Diverse objects and scenes
72,Fishing Moments,Fishing Success,Fishing Success
73,Colorful Patterns and Objects,purple and pink motifs,Purple and Pink Motifs
74,Colorful backgrounds and objects,Colorful backgrounds and objects,Colorful backgrounds and objects
75,Colorful Objects and Time,Colorful Time and Nature,Colorful Objects and Time
76,Colorful Contrasts,Colorful Contrasts,Colorful contrasts
77,Colorful Patterns and Textures,Colorful Patterns and Textures,Colorful Patterns and Textures
78,Blue and Contrast Elements,Blue-themed compositions,Visual Elements and Subjects
79,Colorful aesthetics,Colorful aesthetics,Colorful Design Elements
80,Fishing Achievements,Fishing achievements,Fishing Success
