Neuron ID,Label 1,Label 2,Label 3
26,objects in motion and nature,nature and objects,objects in motion and stillness
68,woven and webbed structures,weaving and mesh motifs,weaving and spiders
115,peacock-themed decor,peacock and monkey motifs,animal and color motifs
133,knitted and crocheted textiles,knitted and crocheted textiles in various colors and patterns,
201,monochrome grids and metal grates,geometric metal grids,metal and geometric patterns
204,red-themed scenes,red-themed objects,red and hand-themed scenes
206,blue and white textiles,blue and white patterned textiles,patterned fabrics
223,zigzag and chevron patterns,zigzag patterns,geometric patterns and nature
224,honeycomb design,honeycomb design background,honeycomb and patterns
265,indoor and outdoor scenes,indoor and outdoor objects and scenes,objects and body parts in close-up
272,vibrant and colorful objects,vibrant and playful imagery,colorful sensory experiences
318,hardware and accessories,hardware and nature-inspired patterns,patterns and textures
329,animals in captivity,animal enclosures,
350,striped fabric and clothing,textiles and wood scenes,striped clothing and interiors
353,geometric patterns,zigzag and geometric patterns,
364,metallic decor,blue and metal-themed objects,metal plates and decorations
388,fabric patterns and ball pit scenes,colorful fabric and patterns,colorful designs and patterns
394,checkerboard and wine-themed decor,checkerboard and wine-themed items,checkerboard and wine motifs
405,polka dot items and dogs,patterns and animals,patterns and dogs
432,household objects,household items and decor,objects in different settings
441,metal and family,metallic textures and patterns,metallic textures and people
456,hexagonal patterns/tiles,hexagonal wall patterns,hexagonal patterns/textures
461,metal grates with patterns,metal triangle grates and patterned fabrics,geometric patterns and polka dots
475,red and purple themed food and patterns,red and purple food and patterns,red and purple stripe motifs
487,monochrome geometric patterns,monochrome geometric designs,black and white patterns
508,textures and patterns,various textures and patterns,
518,food storage and display,kitchen and food items,kitchen and food storage
520,geometric patterns,zigzag patterns,
532,metal and wood puzzles,metal and wood puzzle pieces,metallic puzzle pieces
554,spiders and light,spider and related imagery,arachnids and photography
597,monochrome art and fashion,monochrome imagery,visual imagery
599,geometric patterns,,
609,metal and wheels,metal-themed objects,metal and blue-themed objects
618,striped and screen scenes,striped and screen-themed clothing and views,striped and patterned clothing and screens
620,striped and checked patterns with guns and cosmetics,firearms and textiles,striped and weapon motifs
628,colorful urban elements,artistic expressions,artistic tools and objects
644,various items and activities,items with repeated elements,miscellaneous items
676,various views and activities,scenes of different environments,various sceneries
718,animal activities near water,animal and fabric motifs,animal and pattern scenes
767,patterns and animals,patterns and textures,
798,spiral staircases and buildings,spiral staircases and architecture,architectural elements
839,bicycle and nature scenes,nature-inspired spaces,nature and home decor
845,metal grates and patterns,metal grates and meshes,metal grates and holes
893,chevron patterns,chevron designs,chevron and zigzag patterns
910,indoor and outdoor scenes,various environments/settings,various activities and places
934,monochrome patterns,geometric patterns,
950,outdoor scenes with animals and objects,scenes with living beings and objects,outdoor scenes and objects
951,various geometric scenes,various visual elements,interior design elements
974,patterned surfaces,red and patterned textiles,patterned textiles and surfaces
990,earthy tones and patterns,patterns and colors,
