Neuron ID,label
0,fishing and catching fish
1,aquatic life
2,white shark in water
3,shark-related activities
4,aquatic life
5,oceanic creatures
6,underwater marine life
7,red poultry
8,chicken and its surroundings
9,nature scenes with birds and grass
10,birds in nature
11,bird feeding on branch
12,birds perched on objects
13,birds in various settings
14,bird watching
15,birds on branches
16,birds on branches in nature
17,birds in nature
18,birds in various settings
19,bird watching
20,birds in natural settings
21,birds in flight and perched
22,bald eagle sightings
23,birds in various environments
24,birds on branches
25,nature and animals
26,small aquatic and reptilian creatures
27,red and orange animals
28,reptiles and insects in nature
29,aquarium life
30,frogs in various settings
31,green tree frogs
32,frog in various settings
33,turtle in water
34,turtles and beach wildlife
35,turtle imagery
36,turtle in various environments
37,turtle variations
38,small reptiles
39,lizards in various settings
40,lizards in nature
41,repetitive lizards
42,lizard on rock
43,lizards in nature
44,reptiles
45,reptiles and nature
46,lizard on foliage
47,green reptiles on branches
48,lizards in different environments
49,lying crocodiles and alligators
50,alligator/crocodile in water
51,prehistoric artifacts and animals
52,reptiles and serpents
53,interactions with snakes
54,various snakes and handlers
55,green snakes in nature
56,different snakes
57,snakes in various settings
58,snakes in different environments
59,green snakes in various settings
60,snakes in various settings
61,snakes and humans
62,snakes in nature
63,snakes in various settings
64,green snakes in nature
65,marine life
66,reptiles and birds
67,reptiles and birds in nature
68,desert reptiles and fauna
69,fossil collection
70,spiders on foliage
71,black scorpions
72,spiders and webs
73,spiders and their webs
74,spiders and webs
75,black and red spiders
76,arachnids
77,spiders on various surfaces
78,common pest problems
79,insects and arachnids
80,birds in nature
81,birds in nature
82,birds in various environments
83,birds and grass scenes
84,peacock and birds
85,various bird sightings
86,birds in various environments
87,birds in captivity
88,parrots on a perch
89,white birds perching and feeding
90,colorful birds on branches
91,birds in nature
92,birds on branches/wire/post
93,birds on various surfaces
94,hummingbird sightings
95,birds on a branch
96,birds on branches/cages
97,ducks in various environments
98,waterfowl imagery
99,waterfowl on land and water
100,black swans in water with babies
101,elephants in various settings
102,small ground-dwelling creatures and objects
103,aquatic animals
104,animals in nature
105,koalas on trees
106,animals in nature
107,jellyfish display
108,underwater flora and fauna
109,underwater coral ecosystem
110,marine life and nature
111,science imagery
112,sea shells
113,snails and slugs
114,snails and slugs
115,underwater marine life
116,small natural objects
117,aquatic and terrestrial nature
118,crab dishes and presentation
119,crustacean sightings
120,crabs and insects in nature
121,crab-themed imagery
122,lobster dishes
123,marine crustaceans
124,lobster and crayons
125,marine life
126,small bugs and objects
127,birds and storms
128,birds in nature
129,birds in various environments
130,flamingos in nature
131,birds in natural habitats
132,water birds
133,birds near water
134,birds in various environments
135,birds in various environments
136,bird movements and habitats
137,birds in water
138,various bird sightings
139,birds near water
140,coastal birds
141,birds near water
142,birds in or around water
143,birds in various environments
144,waterfowl with long beaks
145,penguin group scenes
146,birds in various environments
147,gray whales in water
148,marine mammals swimming
149,large white animals/fish
150,sea life in water
151,dogs in domestic settings
152,small dogs/puppies
