Layer,Unit,Mean Caption Label,Topk-Sq Caption Label,Image-Products Label,Topk-Compare Label,Mean Caption E1 Rating,Topk-Sq E1 Rating,Image-Products E1 Rating,Topk-Compare E1 Rating,Mean Caption E2 Rating,Topk-Sq E2 Rating,Image-Products E2 Rating,Topk-Compare E2 Rating,Uninterpretable E1,None E1,Uninterpretable E2,None E2
1,10,Red and white objects,Red and white patterns,Red and white patterns,Red and white patterns,3,5,5,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE
1,13,darkness,darkness,muted,black color,5,5,5,5,5,5,4,5,FALSE,FALSE,FALSE,FALSE
1,20,Black and white lettering,Black and white lettering,stripes,stripes,1,1,5,5,1,1,5,5,FALSE,FALSE,FALSE,FALSE
1,22,The left side of objects,The left side of objects,Monochrome and patterns,grid,1,1,5,2,1,1,3,5,FALSE,FALSE,FALSE,FALSE
1,29,Black and white patterns,Black and white patterns,Black and white patterns,Black and white patterns,1,1,1,1,4,4,4,4,FALSE,TRUE,FALSE,FALSE
1,33,Animal and color motifs,Brighter areas in objects,striped,Animal and color motifs,5,4,1,5,4,3,3,4,FALSE,FALSE,FALSE,FALSE
1,36,candle,Red colored objects,chequered,Red colored objects,1,1,1,1,2,5,1,5,FALSE,TRUE,FALSE,FALSE
1,38,Fluorescent blue and green objects,Fluorescent blue and green objects,Fluorescent blue and green objects,Fluorescent blue and green objects,5,5,5,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE
1,43,Black and white colored objects,Black and white colored objects,Black and white patterns,Black and white colored objects,1,1,1,1,4,4,4,4,FALSE,TRUE,FALSE,FALSE
1,46,White dots outlining objects,White dots outlining objects,Spots of the color white,White dots outlining objects,1,1,1,1,1,1,2,1,FALSE,TRUE,FALSE,TRUE
1,56,Patterns and animals in nature,zebra,striped,zebra,3,4,3,4,3,3,4,3,FALSE,FALSE,FALSE,FALSE
1,58,Vertical lines,stripes,Striped patterns and zebras,stripes,4,4,3,5,5,5,5,5,TRUE,FALSE,FALSE,FALSE
1,69,orange,orange,Colorful backgrounds and objects,orange,1,1,4,1,2,2,5,2,FALSE,FALSE,FALSE,FALSE
1,80,lined,Horizontal lines,stripes,Horizontal lines,3,5,4,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE
1,82,stripe,stripe,Vertical lines,stripe,1,1,1,1,5,5,5,5,FALSE,TRUE,FALSE,FALSE
1,103,Text,Text,Black and white patterns,White spaces below black bars,1,1,1,3,1,1,4,3,FALSE,TRUE,FALSE,FALSE
1,110,pink,pink,pink color,pink,5,5,5,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE
1,111,Checkerboard patterns,Checkerboard patterns,White dots outlining objects,Checkerboard patterns,4,4,1,4,4,4,1,4,FALSE,FALSE,FALSE,FALSE
1,120,diving,diving,Underwater and stripes,diving,3,3,4,3,3,3,5,3,FALSE,FALSE,FALSE,FALSE
