Neuron ID,Label 1,Label 2,Label 3
1039,outdoor activities with objects,outdoor activities,outdoor activities with pets
1772,nature and animals,nature and objects,red and nature-themed scenes
1602,food-related scenes,food scenes,food and animals in public
1915,musical instruments and household items,musical instruments and appliances,musical and household items
1592,scenes with sky and nature elements,sky and aviation,air and sky scenes
1798,animals and activities,outdoor activities,outdoor recreation and animals
1997,music and literature scenes,musical and literary scenes,people and their activities
502,playing pool with various elements,playing pool with accessories,"""common objects"""
1801,nature scenes with rocks,natural landscapes and structures,nature scenes
1022,nature and people,photography subjects,photography scenes
1375,kitchen with appliances,kitchen fixtures and appliances,kitchen fixtures
2009,holding a black object,human and animal interactions,human interactions with living things
1278,people with children or toys,childhood moments,everyday family scenes
832,various objects/subjects,objects and people in various settings,various images of people and objects
285,objects and nature,monochrome objects and nature,nature and objects
1985,indoor spaces and furniture,home furnishings and architecture,furniture and interiors
144,parenting and care,medical and family scenes,various scenes with living beings
1633,nature-themed objects,nature and food, 
1200,tools and accessories,outdoor activities and tools,everyday items
1929,alcohol and desserts,bar and drinks,food and drink items
14,bird-related imagery,birds in various settings, 
1877,audio devices and booths,sound devices and equipment,audio and communication devices/infrastructure
1013,animals and objects in motion,objects and animals in environment,objects in stillness
991,urban accessories and logos,urban lifestyle elements,urban objects and symbols
1032,household electronics and pets,domestic settings with electronics and pets,household and technology items with cats
1149,pottery-making scenes,domestic activities,kitchen and pottery activities
364,objects in urban settings,necessities,industrial and agricultural scenes
587,nature and animals,black and white nature,nature and objects
1474,outdoor activities and drinks,golf and outdoor activities,outdoor recreational activities
929,animal-related objects,animal-related objects and scenes,animals and humans in scenes
345,people and objects in various settings,people in various settings,people in various situations
509,nature and beauty products,animals and beauty products,various images
363,monochrome objects and scenes,monochrome objects and activities,monochrome objects and people
1734,animal-related scenes,animal interactions, 
931,musical performances and scenery,musical performances,music and nature scenes
1140,locks and objects,security objects,security and protection
1544,sports and hygiene items,sports and objects,sports and miscellaneous objects
1083,objects with varying colors and shapes,everyday objects,assorted objects
1008,furniture and transportation,assorted objects and scenes,objects and locations
1363,transportation and graffiti,transportation graffiti,transportation and urban art
96,household items,household items and accessories, 
758,black and leopard fashion and objects,musical and animal-themed attire,assorted fashion and objects
901,objects and actions,miscellaneous objects and activities,object maintenance
570,actions and characters,actions and occupations,variety of actions/activities
591,small animals and objects,small domestic animals,black and red animals and objects
697,water-related objects,water-themed scenes,water-themed objects
1326,home decor items,home decor and accessories,household items
1499,transportation and sightseeing,urban scenes,transportation and accessories
1946,people in various attires,people in different attires,attire and people
1511,pets and people, , 
