Neuron ID,Label 1,Label 2,Label 3
6,diagonal black and white pattern,repetitive diagonal pattern,repetitive black and white pattern
10,red and white patterns,red and white designs,red and white geometric patterns
17,objects in close-up,close-up of objects,warming elements
24,birds and roofs,roofs and birds,roof and bird scenes
30,blue-themed objects,blue and textured items,various textures/patterns/objects
32,indoor scenes with people and objects,indoor scenes with people and heating,indoor heating and people
36,colorful backgrounds,pink and black color scheme,pink and black themed backgrounds
37,black and white designs,black and white patterns,black and white patterns
42,pink and green backgrounds,pink and green backgrounds,pink and red backgrounds
45,monochrome patterns and structures,black and white patterns,patterns and textures
46,striped and solid clothing and objects,clothing and objects,shirts with stripes and solids
47,metallic textures/patterns,textures and patterns,metallic and patterned surfaces
54,blue-themed imagery,blue-themed objects,blue-themed objects and nature scenes
55,black and white grids,monochrome diagonal designs,black and white grids/diagonals
56,patterns and nature,patterns and colors,monochrome and stripes
62,round glass table and accessories,black and glass accessories,furniture and accessories
63,multicolored stripes,striped patterns with color,striped patterns with variations
64,colorful patterns,patterned backgrounds and surfaces,patterned backgrounds in various colors
71,patterned interiors,patterned backgrounds and tiles,checkerboard patterns and nature-inspired motifs
76,repetitive diagonal pattern,black and white diagonal pattern,diagonal black and white pattern
77,monochrome and geometric patterns,black and white patterns,geometric patterns
84,repetitive black and white stripes, , 
98,monochrome diagonal patterns,black and white decor,monochrome diagonal pattern and heater
104,monochrome patterns and accessories,monochrome and accessories, 
109,geometric and textured patterns,geometric patterned backgrounds,patterns and textures
110,pink-themed backgrounds,pink-themed backgrounds, 
120,pink and green backgrounds,pink and green backgrounds with blur,color-themed backgrounds
125,striped clothing and patterns,striped clothing and patterns, 
129,black and white decor,black and white decor with glass table,round glass table and black/white patterns
132,zebra and grid patterns,black and white animal motifs,black and white zebras
135,monochrome patterns and textures,patterns and textures, 
150,golden-themed objects,gold-themed objects,miscellaneous items
161,monochrome diagonal design,repeated black and white diagonal pattern,black and white design
164,patterns and backgrounds in yellow and pink,colorful checkered designs,patterned backgrounds
169,monochrome design elements,monochrome design and people,black and white patterns
170,various sources of light,indoor lighting fixtures,indoor lighting
171,snake and pink-themed imagery,snake and backgrounds,pink and black snakes and windows
178,monochrome patterns,black and white patterns, 
188,black and white patterns,black and white patterns,monochrome patterns
189,pink and white patterns, , 
197,metal and patterned textures,metal and patterned textures,metal and blue patterns
203,monochrome grid pattern,monochrome diagonal designs,monochrome diagonal design
206,black and white designs,metal and pattern designs,black and white textures
219,colorful screens and backgrounds with animals and objects,visual displays,visual scenes with animals and screens
230,black and white design elements with metal accents and writing utensils,black and white industrial design,black and white industrial design background
231,metal textures and objects,metallic textures and objects,metallic backgrounds and objects
232,black and white decor,monochrome decor and accessories, 
233,metal and chevron designs,metallic and chevron patterns,metal and chevron patterns
245,striped patterns with pastel colors,striped patterns in various colors,striped patterns in various colors
247,black and white design elements,black and white design with metal,metal grills and black/white patterns
